dataset,horizon_sec,feature_name,positive_rows,negative_rows,block,variable_type,behavioural_reason,selection_status,primary_association_test,effect_size,test,n_positive_nonmissing,n_negative_nonmissing,positive_mean,negative_mean,positive_median,negative_median,statistic,p_value,effect_size_name,test_detail,q_value_bh,fdr_significant_0p05
group_snapshot,2,dbscan_centroid_y_m,613,3078,group_motion,numeric,Current DBSCAN geometry and motion describe the time-local group state.,candidate,mann_whitney_u,0.3813645648166697,mann_whitney_u,613,3078,-1.0088413344208809,-1.7483394272254713,-0.962791,-1.9574829999999999,1303189.0,2.0236791163185452e-50,rank_biserial,two_sided,1.4165753814229816e-49,True
group_snapshot,3,dbscan_centroid_y_m,770,2921,group_motion,numeric,Current DBSCAN geometry and motion describe the time-local group state.,candidate,mann_whitney_u,0.31392113535215205,mann_whitney_u,770,2921,-1.142083435064935,-1.752962769599452,-1.0590255,-1.959963,1477616.0,4.601088993949515e-41,rank_biserial,two_sided,2.2036794655231887e-40,True
group_snapshot,1,dbscan_spread_m,316,3375,group_motion,numeric,Current DBSCAN geometry and motion describe the time-local group state.,candidate,mann_whitney_u,0.18156211908110653,mann_whitney_u,316,3375,0.7021590537974683,0.6213243368888889,0.6624155,0.583762,630068.0,9.050616509873721e-08,rank_biserial,two_sided,3.167715778455802e-07,True
group_snapshot,2,dbscan_spread_m,613,3078,group_motion,numeric,Current DBSCAN geometry and motion describe the time-local group state.,candidate,mann_whitney_u,0.15822280309558856,mann_whitney_u,613,3078,0.6905245986949429,0.6158415591293047,0.643728,0.5769774999999999,1092675.5,5.817620314505428e-10,rank_biserial,two_sided,1.3194154942663876e-09,True
group_snapshot,3,dbscan_spread_m,770,2921,group_motion,numeric,Current DBSCAN geometry and motion describe the time-local group state.,candidate,mann_whitney_u,0.14349871285852123,mann_whitney_u,770,2921,0.6798569636363636,0.6146395193426909,0.6372519999999999,0.575641,1285961.5,8.536362428461419e-10,rank_biserial,two_sided,1.6183520437291441e-09,True
group_snapshot,1,dbscan_mean_vx_mps,316,3375,group_motion,numeric,Current DBSCAN geometry and motion describe the time-local group state.,candidate,mann_whitney_u,-0.09373277074542896,mann_whitney_u,316,3375,-0.06095526582278481,0.01690631792592592,-0.053363,0.000159,483267.0,0.005792713278739266,rank_biserial,two_sided,0.009091470281369026,True
group_snapshot,2,dbscan_mean_vx_mps,613,3078,group_motion,numeric,Current DBSCAN geometry and motion describe the time-local group state.,candidate,mann_whitney_u,-0.04324644612558526,mann_whitney_u,613,3078,-0.042283820554649264,0.020700760558804418,-0.009447,-0.000481,902608.0,0.09039428383717373,rank_biserial,two_sided,0.11116053823220011,False
group_snapshot,3,dbscan_mean_vx_mps,770,2921,group_motion,numeric,Current DBSCAN geometry and motion describe the time-local group state.,candidate,mann_whitney_u,-0.027942752215261657,mann_whitney_u,770,2921,-0.03356688311688312,0.02178824340979116,-0.003437,-0.000941,1093161.0,0.2322641211418054,rank_biserial,two_sided,0.2546510243843891,False
group_snapshot,1,dbscan_mean_vy_mps,316,3375,group_motion,numeric,Current DBSCAN geometry and motion describe the time-local group state.,candidate,mann_whitney_u,0.4067585560243787,mann_whitney_u,316,3375,0.6061691518987342,-0.08113393037037035,0.6204155,-0.038405,750154.0,4.851910238209119e-33,rank_biserial,two_sided,3.396337166746384e-32,True
group_snapshot,2,dbscan_mean_vy_mps,613,3078,group_motion,numeric,Current DBSCAN geometry and motion describe the time-local group state.,candidate,mann_whitney_u,0.37260800481658496,mann_whitney_u,613,3078,0.4516149967373572,-0.11667237037037036,0.399898,-0.054692500000000005,1294928.0,3.2670681790582874e-48,rank_biserial,two_sided,1.858145026839401e-47,True
group_snapshot,3,dbscan_mean_vy_mps,770,2921,group_motion,numeric,Current DBSCAN geometry and motion describe the time-local group state.,candidate,mann_whitney_u,0.36985999279734294,mann_whitney_u,770,2921,0.4149274168831169,-0.13754593426908593,0.350139,-0.061287,1540524.0,2.5851977270164283e-56,rank_biserial,two_sided,1.6803785225606785e-55,True
group_snapshot,1,dbscan_mean_speed_mps,316,3375,group_motion,numeric,Current DBSCAN geometry and motion describe the time-local group state.,candidate,mann_whitney_u,0.45825222691045475,mann_whitney_u,316,3375,1.604297490506329,0.9683544574814814,1.459745,0.756221,777613.0,1.7895294703695934e-41,rank_biserial,two_sided,1.809413131151478e-40,True
group_snapshot,2,dbscan_mean_speed_mps,613,3078,group_motion,numeric,Current DBSCAN geometry and motion describe the time-local group state.,candidate,mann_whitney_u,0.3861408702712614,mann_whitney_u,613,3078,1.4195514420880915,0.9437846871345029,1.280578,0.712082,1307695.0,1.2032184659229738e-51,rank_biserial,two_sided,9.124406699915885e-51,True
group_snapshot,3,dbscan_mean_speed_mps,770,2921,group_motion,numeric,Current DBSCAN geometry and motion describe the time-local group state.,candidate,mann_whitney_u,0.36683487686568816,mann_whitney_u,770,2921,1.3663901792207793,0.9322265878123929,1.245521,0.693003,1537122.0,1.9974045446486207e-55,rank_biserial,two_sided,1.21175875708683e-54,True
group_snapshot,1,group_male_ratio,316,3375,group_demography,numeric,Group demographic composition is a prespecified explanatory hypothesis.,theory_mandatory,mann_whitney_u,0.08973370839193628,mann_whitney_u,316,3375,0.7085993417721519,0.6473990195555555,0.75,0.666667,581100.5,0.005794563476037401,rank_biserial,two_sided,0.009091470281369026,True
group_snapshot,2,group_male_ratio,613,3078,group_demography,numeric,Group demographic composition is a prespecified explanatory hypothesis.,theory_mandatory,mann_whitney_u,0.07258108112405348,mann_whitney_u,613,3078,0.6929556574225123,0.644609247888239,0.75,0.666667,1011880.5,0.0029927612183143497,rank_biserial,two_sided,0.004392601143009771,True
group_snapshot,3,group_male_ratio,770,2921,group_demography,numeric,Group demographic composition is a prespecified explanatory hypothesis.,theory_mandatory,mann_whitney_u,0.04394109827180692,mann_whitney_u,770,2921,0.6757628246753248,0.6465428647723382,0.666667,0.666667,1174000.5,0.049747737334692246,rank_biserial,two_sided,0.05959727916537933,False
group_snapshot,1,group_female_ratio,316,3375,group_demography,numeric,Group demographic composition is a prespecified explanatory hypothesis.,theory_mandatory,mann_whitney_u,0.00502859821847168,mann_whitney_u,316,3375,0.14178468037974684,0.14761486133333332,0.0,0.0,535931.5,0.8558548411744558,rank_biserial,two_sided,0.8850317107599485,False
group_snapshot,2,group_female_ratio,613,3078,group_demography,numeric,Group demographic composition is a prespecified explanatory hypothesis.,theory_mandatory,mann_whitney_u,0.006014901309826959,mann_whitney_u,613,3078,0.14818995269168025,0.14690177875243665,0.0,0.0,949081.5,0.7725539900470139,rank_biserial,two_sided,0.7899147538682951,False
group_snapshot,3,group_female_ratio,770,2921,group_demography,numeric,Group demographic composition is a prespecified explanatory hypothesis.,theory_mandatory,mann_whitney_u,0.03010532774312291,mann_whitney_u,770,2921,0.15921918571428573,0.1439251431016775,0.0,0.0,1158441.0,0.11420033205003051,rank_biserial,two_sided,0.12829913847596022,False
group_snapshot,1,group_unknown_gender_ratio,316,3375,group_demography,numeric,Group demographic composition is a prespecified explanatory hypothesis.,reference_not_jointly_encoded,mann_whitney_u,-0.08871823722456629,mann_whitney_u,316,3375,0.14961594303797468,0.20498609540740742,0.0,0.0,485941.0,0.0030233840285149075,rank_biserial,two_sided,0.004912999046336725,True
group_snapshot,2,group_unknown_gender_ratio,613,3078,group_demography,numeric,Group demographic composition is a prespecified explanatory hypothesis.,reference_not_jointly_encoded,mann_whitney_u,-0.06920024973314809,mann_whitney_u,613,3078,0.15885435889070149,0.20848894996751138,0.0,0.0,878123.0,0.002094501424594013,rank_biserial,two_sided,0.0031245840924271342,True
group_snapshot,3,group_unknown_gender_ratio,770,2921,group_demography,numeric,Group demographic composition is a prespecified explanatory hypothesis.,reference_not_jointly_encoded,mann_whitney_u,-0.05682585131404028,mann_whitney_u,770,2921,0.16501796363636362,0.20953196781923997,0.0,0.0,1060679.5,0.005810345530158346,rank_biserial,two_sided,0.008261585050693897,True
group_snapshot,1,group_young_ratio,316,3375,group_demography,numeric,Group demographic composition is a prespecified explanatory hypothesis.,theory_mandatory,mann_whitney_u,0.02703703703703697,mann_whitney_u,316,3375,0.12569454113924053,0.11811015348148148,0.0,0.0,547667.5,0.3032029192193253,rank_biserial,two_sided,0.35770619428717726,False
group_snapshot,2,group_young_ratio,613,3078,group_demography,numeric,Group demographic composition is a prespecified explanatory hypothesis.,theory_mandatory,mann_whitney_u,0.02795135079557398,mann_whitney_u,613,3078,0.12668604730831973,0.1171808628979857,0.0,0.0,969776.5,0.15683723151131185,rank_biserial,two_sided,0.1829767700965305,False
group_snapshot,3,group_young_ratio,770,2921,group_demography,numeric,Group demographic composition is a prespecified explanatory hypothesis.,theory_mandatory,mann_whitney_u,0.0059301875803075,mann_whitney_u,770,2921,0.11938339350649352,0.11859501198219786,0.0,0.0,1131254.0,0.742961537669581,rank_biserial,two_sided,0.7682897719083166,False
group_snapshot,1,group_adult_ratio,316,3375,group_demography,numeric,Group demographic composition is a prespecified explanatory hypothesis.,theory_mandatory,mann_whitney_u,-0.021313642756680684,mann_whitney_u,316,3375,0.33415516139240503,0.346567296,0.333333,0.333333,521884.5,0.5118285872335198,rank_biserial,two_sided,0.5544809695029798,False
group_snapshot,2,group_adult_ratio,613,3078,group_demography,numeric,Group demographic composition is a prespecified explanatory hypothesis.,theory_mandatory,mann_whitney_u,0.003929905120483523,mann_whitney_u,613,3078,0.35031419575856443,0.3445468008447044,0.333333,0.333333,947114.5,0.8721977701935313,rank_biserial,two_sided,0.8721977701935314,False
group_snapshot,3,group_adult_ratio,770,2921,group_demography,numeric,Group demographic composition is a prespecified explanatory hypothesis.,theory_mandatory,mann_whitney_u,0.018382336595277327,mann_whitney_u,770,2921,0.3591390194805195,0.3419105135227662,0.333333,0.333333,1145257.5,0.4112817968930571,rank_biserial,two_sided,0.44031345314433173,False
group_snapshot,1,group_old_ratio,316,3375,group_demography,numeric,Group demographic composition is a prespecified explanatory hypothesis.,theory_mandatory,mann_whitney_u,0.020267229254570918,mann_whitney_u,316,3375,0.03441968670886076,0.028774656592592592,0.0,0.0,544057.5,0.19369801792068497,rank_biserial,two_sided,0.24481277264975462,False
group_snapshot,2,group_old_ratio,613,3078,group_demography,numeric,Group demographic composition is a prespecified explanatory hypothesis.,theory_mandatory,mann_whitney_u,0.019411558320004074,mann_whitney_u,613,3078,0.03218788091353997,0.02867443664717349,0.0,0.0,961720.0,0.09776290170113826,rank_biserial,two_sided,0.1186189873973811,False
group_snapshot,3,group_old_ratio,770,2921,group_demography,numeric,Group demographic composition is a prespecified explanatory hypothesis.,theory_mandatory,mann_whitney_u,0.021065993233059244,mann_whitney_u,770,2921,0.03229517012987013,0.028457311194796303,0.0,0.0,1148275.5,0.0497735518304267,rank_biserial,two_sided,0.05959727916537933,False
