dataset,feature_name,horizon_sec,level,negative_count,positive_count,total_count,positive_rate,overall_training_fraction,rare_level_under_1_percent_or_50_rows
individual,veh3_ttc_infinite,1,0,12146,629,12775,0.04923679060665362,0.45399623298624686,False
individual,veh3_ttc_infinite,1,1,14248,1116,15364,0.07263733402759698,0.5460037670137532,False
individual,veh3_ttc_infinite,2,0,11502,1273,12775,0.0996477495107632,0.45399623298624686,False
individual,veh3_ttc_infinite,2,1,12836,2528,15364,0.1645404842488935,0.5460037670137532,False
individual,veh3_ttc_infinite,3,0,11026,1749,12775,0.13690802348336595,0.45399623298624686,False
individual,veh3_ttc_infinite,3,1,11946,3418,15364,0.2224681072637334,0.5460037670137532,False
individual,veh1_class,1,0,146,12,158,0.0759493670886076,0.005614982764135186,True
individual,veh1_class,1,1,3792,316,4108,0.07692307692307693,0.14598955186751483,False
individual,veh1_class,1,10,1582,79,1661,0.047561709813365445,0.05902839475461104,False
individual,veh1_class,1,11,81,1,82,0.012195121951219513,0.00291410497885497,True
individual,veh1_class,1,12,5,0,5,0.0,0.0001776893279789616,True
individual,veh1_class,1,13,184,8,192,0.041666666666666664,0.006823270194392125,True
individual,veh1_class,1,2,401,15,416,0.036057692307692304,0.014783752087849603,False
individual,veh1_class,1,3,976,62,1038,0.05973025048169557,0.03688830448843242,False
individual,veh1_class,1,4,137,6,143,0.04195804195804196,0.005081914780198302,True
individual,veh1_class,1,5,1694,93,1787,0.05204252937884723,0.06350616581968087,False
individual,veh1_class,1,6,28,0,28,0.0,0.0009950602366821848,True
individual,veh1_class,1,7,4140,284,4424,0.06419529837251356,0.1572195173957852,False
individual,veh1_class,1,8,997,107,1104,0.09692028985507246,0.03923380361775472,False
individual,veh1_class,1,9,10955,691,11646,0.05933367679890091,0.4138739827285973,False
individual,veh1_class,1,missing,1276,71,1347,0.05270972531551596,0.04786950495753225,False
individual,veh1_class,2,0,133,25,158,0.15822784810126583,0.005614982764135186,True
individual,veh1_class,2,1,3407,701,4108,0.17064264849074975,0.14598955186751483,False
individual,veh1_class,2,10,1409,252,1661,0.15171583383503914,0.05902839475461104,False
individual,veh1_class,2,11,74,8,82,0.0975609756097561,0.00291410497885497,True
individual,veh1_class,2,12,5,0,5,0.0,0.0001776893279789616,True
individual,veh1_class,2,13,162,30,192,0.15625,0.006823270194392125,True
individual,veh1_class,2,2,378,38,416,0.09134615384615384,0.014783752087849603,False
individual,veh1_class,2,3,895,143,1038,0.13776493256262043,0.03688830448843242,False
