dataset,feature_name,horizon_sec,level,negative_count,positive_count,total_count,positive_rate,overall_training_fraction,rare_level_under_1_percent_or_50_rows
group_snapshot,veh2_ttc_infinite,1,0,1571,114,1685,0.06765578635014836,0.4565158493633162,False
group_snapshot,veh2_ttc_infinite,1,1,1804,202,2006,0.10069790628115653,0.5434841506366839,False
group_snapshot,veh2_ttc_infinite,2,0,1469,216,1685,0.1281899109792285,0.4565158493633162,False
group_snapshot,veh2_ttc_infinite,2,1,1609,397,2006,0.19790628115653042,0.5434841506366839,False
group_snapshot,veh2_ttc_infinite,3,0,1416,269,1685,0.15964391691394658,0.4565158493633162,False
group_snapshot,veh2_ttc_infinite,3,1,1505,501,2006,0.2497507477567298,0.5434841506366839,False
group_snapshot,veh2_class,1,0,13,1,14,0.07142857142857142,0.003793010024383636,True
group_snapshot,veh2_class,1,1,655,49,704,0.06960227272727272,0.1907342183690057,False
group_snapshot,veh2_class,1,10,176,14,190,0.07368421052631578,0.05147656461663506,False
group_snapshot,veh2_class,1,11,30,1,31,0.03225806451612903,0.008398807911135195,True
group_snapshot,veh2_class,1,13,38,1,39,0.02564102564102564,0.010566242210782985,True
group_snapshot,veh2_class,1,2,83,3,86,0.03488372093023256,0.02329991872121376,False
group_snapshot,veh2_class,1,3,114,6,120,0.05,0.03251151449471688,False
group_snapshot,veh2_class,1,5,188,13,201,0.06467661691542288,0.05445678677865077,False
group_snapshot,veh2_class,1,6,2,0,2,0.0,0.000541858574911948,True
group_snapshot,veh2_class,1,7,720,65,785,0.08280254777070063,0.2126794906529396,False
group_snapshot,veh2_class,1,8,147,17,164,0.10365853658536585,0.044432403142779735,False
group_snapshot,veh2_class,1,9,893,103,996,0.10341365461847389,0.2698455703061501,False
group_snapshot,veh2_class,1,missing,316,43,359,0.11977715877437325,0.09726361419669466,False
group_snapshot,veh2_class,2,0,11,3,14,0.21428571428571427,0.003793010024383636,True
group_snapshot,veh2_class,2,1,610,94,704,0.13352272727272727,0.1907342183690057,False
group_snapshot,veh2_class,2,10,160,30,190,0.15789473684210525,0.05147656461663506,False
group_snapshot,veh2_class,2,11,28,3,31,0.0967741935483871,0.008398807911135195,True
group_snapshot,veh2_class,2,13,36,3,39,0.07692307692307693,0.010566242210782985,True
group_snapshot,veh2_class,2,2,73,13,86,0.1511627906976744,0.02329991872121376,False
group_snapshot,veh2_class,2,3,102,18,120,0.15,0.03251151449471688,False
group_snapshot,veh2_class,2,5,158,43,201,0.21393034825870647,0.05445678677865077,False
group_snapshot,veh2_class,2,6,2,0,2,0.0,0.000541858574911948,True
group_snapshot,veh2_class,2,7,647,138,785,0.17579617834394903,0.2126794906529396,False
group_snapshot,veh2_class,2,8,137,27,164,0.16463414634146342,0.044432403142779735,False
group_snapshot,veh2_class,2,9,825,171,996,0.1716867469879518,0.2698455703061501,False
group_snapshot,veh2_class,2,missing,289,70,359,0.19498607242339833,0.09726361419669466,False
group_snapshot,veh2_class,3,0,10,4,14,0.2857142857142857,0.003793010024383636,True
group_snapshot,veh2_class,3,1,582,122,704,0.17329545454545456,0.1907342183690057,False
group_snapshot,veh2_class,3,10,149,41,190,0.21578947368421053,0.05147656461663506,False
group_snapshot,veh2_class,3,11,28,3,31,0.0967741935483871,0.008398807911135195,True
group_snapshot,veh2_class,3,13,34,5,39,0.1282051282051282,0.010566242210782985,True
group_snapshot,veh2_class,3,2,66,20,86,0.23255813953488372,0.02329991872121376,False
group_snapshot,veh2_class,3,3,99,21,120,0.175,0.03251151449471688,False
group_snapshot,veh2_class,3,5,144,57,201,0.2835820895522388,0.05445678677865077,False
group_snapshot,veh2_class,3,6,2,0,2,0.0,0.000541858574911948,True
group_snapshot,veh2_class,3,7,616,169,785,0.21528662420382166,0.2126794906529396,False
group_snapshot,veh2_class,3,8,129,35,164,0.21341463414634146,0.044432403142779735,False
group_snapshot,veh2_class,3,9,793,203,996,0.20381526104417672,0.2698455703061501,False
group_snapshot,veh2_class,3,missing,269,90,359,0.25069637883008355,0.09726361419669466,False
group_snapshot,veh3_present,1,0,521,56,577,0.09705372616984402,0.156326198862097,False
group_snapshot,veh3_present,1,1,2854,260,3114,0.08349389852280026,0.843673801137903,False
group_snapshot,veh3_present,2,0,476,101,577,0.17504332755632582,0.156326198862097,False
group_snapshot,veh3_present,2,1,2602,512,3114,0.16441875401412973,0.843673801137903,False
group_snapshot,veh3_present,3,0,448,129,577,0.22357019064124783,0.156326198862097,False
group_snapshot,veh3_present,3,1,2473,641,3114,0.20584457289659602,0.843673801137903,False
group_snapshot,veh3_ttc_infinite,1,0,1521,106,1627,0.06515058389674247,0.4408019506908697,False
group_snapshot,veh3_ttc_infinite,1,1,1854,210,2064,0.10174418604651163,0.5591980493091303,False
group_snapshot,veh3_ttc_infinite,2,0,1431,196,1627,0.12046711739397664,0.4408019506908697,False
group_snapshot,veh3_ttc_infinite,2,1,1647,417,2064,0.20203488372093023,0.5591980493091303,False
group_snapshot,veh3_ttc_infinite,3,0,1380,247,1627,0.15181315304240933,0.4408019506908697,False
group_snapshot,veh3_ttc_infinite,3,1,1541,523,2064,0.25339147286821706,0.5591980493091303,False
group_snapshot,veh3_class,1,0,11,1,12,0.08333333333333333,0.003251151449471688,True
group_snapshot,veh3_class,1,1,673,54,727,0.07427785419532325,0.1969655919804931,False
group_snapshot,veh3_class,1,10,199,11,210,0.05238095238095238,0.056895150365754536,False
group_snapshot,veh3_class,1,11,16,0,16,0.0,0.004334868599295584,True
group_snapshot,veh3_class,1,13,33,2,35,0.05714285714285714,0.00948252506095909,True
group_snapshot,veh3_class,1,2,36,2,38,0.05263157894736842,0.010295312923327011,True
group_snapshot,veh3_class,1,3,146,16,162,0.09876543209876543,0.043890544567867784,False
group_snapshot,veh3_class,1,5,62,3,65,0.046153846153846156,0.017610403684638308,False
group_snapshot,veh3_class,1,6,1,0,1,0.0,0.000270929287455974,True
group_snapshot,veh3_class,1,7,1070,89,1159,0.07679033649698015,0.31400704416147385,False
group_snapshot,veh3_class,1,8,50,2,52,0.038461538461538464,0.014088322947710648,False
group_snapshot,veh3_class,1,9,557,80,637,0.12558869701726844,0.17258195610945543,False
group_snapshot,veh3_class,1,missing,521,56,577,0.09705372616984402,0.156326198862097,False
group_snapshot,veh3_class,2,0,11,1,12,0.08333333333333333,0.003251151449471688,True
group_snapshot,veh3_class,2,1,607,120,727,0.16506189821182943,0.1969655919804931,False
group_snapshot,veh3_class,2,10,185,25,210,0.11904761904761904,0.056895150365754536,False
group_snapshot,veh3_class,2,11,16,0,16,0.0,0.004334868599295584,True
group_snapshot,veh3_class,2,13,32,3,35,0.08571428571428572,0.00948252506095909,True
group_snapshot,veh3_class,2,2,35,3,38,0.07894736842105263,0.010295312923327011,True
group_snapshot,veh3_class,2,3,135,27,162,0.16666666666666666,0.043890544567867784,False
group_snapshot,veh3_class,2,5,57,8,65,0.12307692307692308,0.017610403684638308,False
group_snapshot,veh3_class,2,6,1,0,1,0.0,0.000270929287455974,True
group_snapshot,veh3_class,2,7,976,183,1159,0.15789473684210525,0.31400704416147385,False
group_snapshot,veh3_class,2,8,44,8,52,0.15384615384615385,0.014088322947710648,False
group_snapshot,veh3_class,2,9,503,134,637,0.21036106750392464,0.17258195610945543,False
group_snapshot,veh3_class,2,missing,476,101,577,0.17504332755632582,0.156326198862097,False
group_snapshot,veh3_class,3,0,10,2,12,0.16666666666666666,0.003251151449471688,True
group_snapshot,veh3_class,3,1,576,151,727,0.2077028885832187,0.1969655919804931,False
group_snapshot,veh3_class,3,10,182,28,210,0.13333333333333333,0.056895150365754536,False
group_snapshot,veh3_class,3,11,16,0,16,0.0,0.004334868599295584,True
group_snapshot,veh3_class,3,13,29,6,35,0.17142857142857143,0.00948252506095909,True
group_snapshot,veh3_class,3,2,29,9,38,0.23684210526315788,0.010295312923327011,True
group_snapshot,veh3_class,3,3,129,33,162,0.2037037037037037,0.043890544567867784,False
group_snapshot,veh3_class,3,5,54,11,65,0.16923076923076924,0.017610403684638308,False
group_snapshot,veh3_class,3,6,1,0,1,0.0,0.000270929287455974,True
group_snapshot,veh3_class,3,7,929,230,1159,0.1984469370146678,0.31400704416147385,False
group_snapshot,veh3_class,3,8,43,9,52,0.17307692307692307,0.014088322947710648,False
group_snapshot,veh3_class,3,9,475,162,637,0.2543171114599686,0.17258195610945543,False
group_snapshot,veh3_class,3,missing,448,129,577,0.22357019064124783,0.156326198862097,False
